problem_type,goal_check_delay,problem_number,execution_time,algorithm_name,solution_found
complex,10,45,99.44,Using C++ async,True
complex,10,45,3221.44,Synchronization with thread director,True
complex,10,45,399.37,Recursive C++ for_each,True
complex,10,45,225.99,Using C++ for_each,True
complex,10,45,101.0,Using C++ tasks,True
complex,10,43,2829.23,Sequential,True
complex,10,43,442.61,Recursive C++ for_each,True
complex,10,43,303.38,Synchronization with thread director,True
complex,10,43,17407.8,Recursive async,True
complex,10,43,115.07,Using C++ async,True
complex,10,43,114.5,C++ any_of,True
complex,10,43,114.18,Using C++ for_each,True
complex,10,43,115.61,Using C++ tasks,True
complex,10,41,779.46,Using C++ for_each,True
complex,10,41,83.66,Recursive C++ for_each,True
complex,10,41,159.96,Sequential,True
complex,10,41,4.3,Using C++ async,True
complex,10,41,4.12,Using C++ tasks,True
complex,10,41,8.75,Synchronization with thread director,True
complex,10,41,286.38,Recursive async,True
complex,10,41,4.01,C++ any_of,True
complex,10,39,1392.04,Using C++ for_each,True
complex,10,39,10622.4,Sequential,True
complex,10,39,17237.3,Recursive async,True
complex,10,39,1123.74,Recursive C++ for_each,True
complex,10,39,3557.57,Synchronization with thread director,True
complex,10,39,1388.01,Using C++ async,True
complex,10,39,1389.43,Using C++ tasks,True
complex,10,39,1383.67,C++ any_of,True
complex,10,38,5797.91,Using C++ tasks,False
complex,10,38,31336.3,Recursive async,False
complex,10,38,10595.0,Synchronization with thread director,False
complex,10,38,2026.1,Recursive C++ for_each,False
complex,10,38,5675.86,Using C++ async,False
complex,10,38,31286.5,Sequential,False
complex,10,38,5645.72,Using C++ for_each,False
complex,10,38,5645.17,C++ any_of,False
complex,10,36,3.43,Recursive C++ for_each,True
complex,10,36,30.72,C++ any_of,True
complex,10,36,612.91,Recursive async,True
complex,10,36,29.81,Using C++ for_each,True
complex,10,36,1362.33,Sequential,True
complex,10,36,30.22,Using C++ tasks,True
complex,10,36,58.61,Synchronization with thread director,True
complex,10,36,31.42,Using C++ async,True
complex,10,44,120.68,C++ any_of,True
complex,10,44,22.77,Synchronization with thread director,True
complex,10,44,25.17,Recursive C++ for_each,True
complex,10,44,121.0,Using C++ tasks,True
complex,10,44,120.92,Using C++ async,True
complex,10,44,120.73,Using C++ for_each,True
complex,10,44,31220.5,Recursive async,True
complex,10,44,963.08,Sequential,True
complex,10,35,181.33,Using C++ async,True
complex,10,35,30949.0,Recursive async,True
complex,10,35,1838.84,Recursive C++ for_each,True
complex,10,35,228.62,Synchronization with thread director,True
complex,10,35,4210.52,Sequential,True
complex,10,35,180.65,Using C++ for_each,True
complex,10,35,180.48,C++ any_of,True
complex,10,35,192.71,Using C++ tasks,True
complex,10,46,281.6,Sequential,True
complex,10,46,25.39,Using C++ tasks,True
complex,10,46,1680.85,Recursive async,True
complex,10,46,293.25,Synchronization with thread director,True
complex,10,46,715.16,Recursive C++ for_each,True
complex,10,46,42.72,Using C++ async,True
complex,10,46,25.58,C++ any_of,True
complex,10,46,25.42,Using C++ for_each,True
complex,10,34,906.41,Using C++ tasks,True
complex,10,34,14335.1,Sequential,True
complex,10,34,29778.2,Recursive async,True
complex,10,34,959.94,Synchronization with thread director,True
complex,10,34,899.43,C++ any_of,True
complex,10,34,1782.51,Recursive C++ for_each,True
complex,10,34,908.31,Using C++ for_each,True
complex,10,34,903.86,Using C++ async,True
complex,10,32,32752.7,Recursive async,True
complex,10,32,156.4,Using C++ tasks,True
complex,10,32,155.66,Using C++ for_each,True
complex,10,32,2132.03,Synchronization with thread director,True
complex,10,32,155.3,Using C++ async,True
complex,10,32,1166.62,Recursive C++ for_each,True
complex,10,32,155.9,C++ any_of,True
complex,10,32,1843.65,Sequential,True
complex,10,31,37.98,Sequential,True
complex,10,31,847.99,Recursive C++ for_each,True
complex,10,31,356.14,Recursive async,True
complex,10,31,0.36,Using C++ for_each,True
complex,10,31,1.01,Synchronization with thread director,True
complex,10,31,0.32,C++ any_of,True
complex,10,31,1.56,Using C++ tasks,True
complex,10,31,3.14,Using C++ async,True
complex,10,30,37.86,Using C++ async,True
complex,10,30,37.41,C++ any_of,True
complex,10,30,23781.7,Recursive async,True
complex,10,30,859.77,Recursive C++ for_each,True
complex,10,30,180.16,Synchronization with thread director,True
complex,10,30,353.74,Sequential,True
complex,10,30,37.53,Using C++ for_each,True
complex,10,30,41.21,Using C++ tasks,True
complex,10,10,4150.83,Using C++ tasks,False
